run 01: PASS | 目标 min=298ms vs 修复前路径 min=1122ms（比值 0.266，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 10.97s
run 02: PASS | 目标 min=328ms vs 修复前路径 min=2315ms（比值 0.142，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 15.67s
run 03: PASS | 目标 min=617ms vs 修复前路径 min=2334ms（比值 0.264，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 22.87s
run 04: PASS | 目标 min=537ms vs 修复前路径 min=1322ms（比值 0.406，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 18.67s
run 05: PASS | 目标 min=627ms vs 修复前路径 min=1278ms（比值 0.490，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 21.14s
run 06: PASS | 目标 min=344ms vs 修复前路径 min=1275ms（比值 0.270，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 14.03s
run 07: PASS | 目标 min=440ms vs 修复前路径 min=1653ms（比值 0.267，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 16.08s
run 08: PASS | 目标 min=387ms vs 修复前路径 min=1520ms（比值 0.254，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 14.92s
run 09: PASS | 目标 min=377ms vs 修复前路径 min=1371ms（比值 0.275，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 14.32s
run 10: PASS | 目标 min=396ms vs 修复前路径 min=1378ms（比值 0.288，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 13.83s
run 11: PASS | 目标 min=368ms vs 修复前路径 min=1356ms（比值 0.271，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 13.76s
run 12: PASS | 目标 min=357ms vs 修复前路径 min=1375ms（比值 0.260，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 13.68s
run 13: PASS | 目标 min=369ms vs 修复前路径 min=1445ms（比值 0.256，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 13.97s
run 14: PASS | 目标 min=363ms vs 修复前路径 min=1368ms（比值 0.265，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 13.64s
run 15: PASS | 目标 min=372ms vs 修复前路径 min=1365ms（比值 0.272，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 13.73s
run 16: PASS | 目标 min=402ms vs 修复前路径 min=1495ms（比值 0.269，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 15.14s
run 17: PASS | 目标 min=392ms vs 修复前路径 min=1385ms（比值 0.283，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 14.60s
run 18: PASS | 目标 min=305ms vs 修复前路径 min=1207ms（比值 0.253，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 12.65s
run 19: PASS | 目标 min=384ms vs 修复前路径 min=1415ms（比值 0.271，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 14.09s
run 20: PASS | 目标 min=356ms vs 修复前路径 min=1492ms（比值 0.239，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 14.12s
run 21: PASS | 目标 min=384ms vs 修复前路径 min=1474ms（比值 0.260，判据 <0.5） | test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 14 filtered out; finished in 15.03s

== 连跑汇总：21 passed / 0 failed（共 21 次）==
== 判据：min(目标)×2 < min(参考)（比值 <0.5）==
