round,bei_time,code,last,prev,pct,vol,amount,data_ts,status,anchor_last,cross
1,2026-09-03 09:10:44,518880,0.0,8.902,-100.0,,,2026090391045,PARTIAL,,
1,2026-09-03 09:10:44,513310,0.0,4.661,-100.0,,,2026090391045,PARTIAL,,
1,2026-09-03 09:10:44,161226,,,,,,,PARTIAL,,
1,2026-09-03 09:10:44,159776,,,,,,,PARTIAL,,
2,2026-09-03 09:15:55,518880,0.0,8.902,-100.0,,,2026090391555,PARTIAL,,
2,2026-09-03 09:15:55,513310,0.0,4.661,-100.0,,,2026090391555,PARTIAL,,
2,2026-09-03 09:15:55,161226,,,,,,,PARTIAL,,
2,2026-09-03 09:15:55,159776,,,,,,,PARTIAL,,
3,2026-09-03 09:20:58,518880,0.0,8.902,-100.0,,,2026090392058,PARTIAL,,
3,2026-09-03 09:20:58,513310,0.0,4.661,-100.0,,,2026090392058,PARTIAL,,
3,2026-09-03 09:20:58,161226,,,,,,,PARTIAL,,
3,2026-09-03 09:20:58,159776,,,,,,,PARTIAL,,
4,2026-09-03 09:26:01,518880,9.045,8.902,1.61,,,2026090392601,OK,9.045,OK
4,2026-09-03 09:26:01,513310,4.731,4.661,1.5,,,2026090392601,OK,4.731,OK
4,2026-09-03 09:26:01,161226,1.95,1.925,1.3,,,2026-09-03 09:26:00,OK,1.95,OK
4,2026-09-03 09:26:01,159776,1.203,1.194,0.75,,,2026-09-03 09:26:00,OK,1.203,OK
5,2026-09-03 09:31:04,518880,9.06,8.902,1.77,,,2026090393104,OK,9.06,OK
5,2026-09-03 09:31:04,513310,4.737,4.661,1.63,,,2026090393104,OK,4.737,OK
5,2026-09-03 09:31:04,161226,1.954,1.925,1.51,,,2026-09-03 09:31:04,OK,1.955,OK
5,2026-09-03 09:31:04,159776,1.207,1.194,1.09,,,2026-09-03 09:31:04,OK,1.209,OK
6,2026-09-03 09:36:08,518880,9.074,8.902,1.93,,,2026090393609,OK,9.074,OK
6,2026-09-03 09:36:08,513310,4.739,4.661,1.67,,,2026090393609,OK,4.738,OK
6,2026-09-03 09:36:08,161226,1.958,1.925,1.71,,,2026-09-03 09:36:08,OK,1.959,OK
6,2026-09-03 09:36:08,159776,1.205,1.194,0.92,,,2026-09-03 09:36:08,OK,1.207,OK
7,2026-09-03 09:41:12,518880,9.069,8.902,1.88,,,2026090394112,OK,9.069,OK
7,2026-09-03 09:41:12,513310,4.714,4.661,1.14,,,2026090394112,OK,4.714,OK
7,2026-09-03 09:41:12,161226,1.956,1.925,1.61,,,2026-09-03 09:41:11,OK,1.955,OK
7,2026-09-03 09:41:12,159776,1.211,1.194,1.42,,,2026-09-03 09:41:11,OK,1.211,OK
