round,bei_time,code,last,prev,pct,vol,amount,data_ts,status,anchor_last,cross
1,2026-09-03 09:10:44,518880,,,,,,,PARSE_ERR,,
1,2026-09-03 09:10:44,513310,,,,,,,PARSE_ERR,,
1,2026-09-03 09:10:44,161226,,,,,,,PARSE_ERR,,
1,2026-09-03 09:10:44,159776,,,,,,,PARSE_ERR,,
2,2026-09-03 09:15:55,518880,,,,,,,PARSE_ERR,,
2,2026-09-03 09:15:55,513310,,,,,,,PARSE_ERR,,
2,2026-09-03 09:15:55,161226,,,,,,,PARSE_ERR,,
2,2026-09-03 09:15:55,159776,,,,,,,PARSE_ERR,,
3,2026-09-03 09:20:58,518880,,,,,,,PARSE_ERR,,
3,2026-09-03 09:20:58,513310,,,,,,,PARSE_ERR,,
3,2026-09-03 09:20:58,161226,,,,,,,PARSE_ERR,,
3,2026-09-03 09:20:58,159776,,,,,,,PARSE_ERR,,
4,2026-09-03 09:26:01,518880,9.045,8.902,1.61,57761.0,52244825.0,,OK,9.045,OK
4,2026-09-03 09:26:01,513310,4.731,4.661,1.5,82411.0,38988644.0,,OK,4.731,OK
4,2026-09-03 09:26:01,161226,1.95,1.925,1.3,27840.0,5428881.9,,OK,1.95,OK
4,2026-09-03 09:26:01,159776,1.203,1.194,0.75,595.0,71578.5,,OK,1.203,OK
5,2026-09-03 09:31:04,518880,9.065,8.902,1.83,220107.0,199243195.0,,OK,9.06,OK
5,2026-09-03 09:31:04,513310,4.737,4.661,1.63,314090.0,148710570.0,,OK,4.737,OK
5,2026-09-03 09:31:04,161226,1.956,1.925,1.61,88190.0,17223065.615,,OK,1.955,OK
5,2026-09-03 09:31:04,159776,1.21,1.194,1.34,5382.0,649259.7,,OK,1.209,OK
6,2026-09-03 09:36:08,518880,9.074,8.902,1.93,597840.0,541882467.0,,OK,9.074,OK
6,2026-09-03 09:36:08,513310,4.739,4.661,1.67,1253874.0,593772401.0,,OK,4.738,OK
6,2026-09-03 09:36:08,161226,1.959,1.925,1.77,178912.0,34987014.541,,OK,1.959,OK
6,2026-09-03 09:36:08,159776,1.207,1.194,1.09,15205.0,1837842.4,,OK,1.207,OK
7,2026-09-03 09:41:12,518880,9.069,8.902,1.88,762450.0,691196777.0,,OK,9.069,OK
7,2026-09-03 09:41:12,513310,4.718,4.661,1.22,1870798.0,885410984.0,,OK,4.714,OK
7,2026-09-03 09:41:12,161226,1.956,1.925,1.61,226216.0,44243043.931,,OK,1.955,OK
7,2026-09-03 09:41:12,159776,1.21,1.194,1.34,24474.0,2957522.5,,OK,1.211,OK
