round,bei_time,code,last,prev,pct,vol,amount,data_ts,status,anchor_last,cross,bar_time,bars_count
1,2026-09-03 09:10:44,518880,8.902,,,3419200.0,30437719.9432,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
1,2026-09-03 09:10:44,513310,4.661,,,9838550.0,45857479.3204,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
1,2026-09-03 09:10:44,161226,1.925,,,2274900.0,4379182.4885,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
1,2026-09-03 09:10:44,159776,1.194,,,30000.0,35819.9999,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
2,2026-09-03 09:15:55,518880,8.902,,,3419200.0,30437719.9432,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
2,2026-09-03 09:15:55,513310,4.661,,,9838550.0,45857479.3204,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
2,2026-09-03 09:15:55,161226,1.925,,,2274900.0,4379182.4885,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
2,2026-09-03 09:15:55,159776,1.194,,,30000.0,35819.9999,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
3,2026-09-03 09:20:58,518880,8.902,,,3419200.0,30437719.9432,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
3,2026-09-03 09:20:58,513310,4.661,,,9838550.0,45857479.3204,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
3,2026-09-03 09:20:58,161226,1.925,,,2274900.0,4379182.4885,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
3,2026-09-03 09:20:58,159776,1.194,,,30000.0,35819.9999,2026-09-02 15:00,OK,,,2026-09-02 15:00,240
4,2026-09-03 09:26:01,518880,9.045,,,5776100.0,52244824.5,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
4,2026-09-03 09:26:01,513310,4.731,,,8241100.0,38988643.613,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
4,2026-09-03 09:26:01,161226,1.95,,,2784042.0,5428882.007,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
4,2026-09-03 09:26:01,159776,1.203,,,59500.0,71578.4956,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
5,2026-09-03 09:31:04,518880,9.054,,,15866000.0,143580478.2658,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
5,2026-09-03 09:31:04,513310,4.738,,,21463738.0,101597501.3792,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
5,2026-09-03 09:31:04,161226,1.954,,,7079976.0,13824466.8327,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
5,2026-09-03 09:31:04,159776,1.209,,,427300.0,515131.0947,2026-09-03 09:31,OK,,,2026-09-03 09:31,240
6,2026-09-03 09:36:08,518880,9.074,,,12900.0,117054.6016,2026-09-03 09:37,OK,,,2026-09-03 09:37,240
6,2026-09-03 09:36:08,513310,4.735,,,22232200.0,105450863.8889,2026-09-03 09:36,OK,,,2026-09-03 09:36,240
6,2026-09-03 09:36:08,161226,1.958,,,795678.0,1558243.203,2026-09-03 09:36,OK,,,2026-09-03 09:36,240
6,2026-09-03 09:36:08,159776,1.205,,,275400.0,332297.6994,2026-09-03 09:36,OK,,,2026-09-03 09:36,240
7,2026-09-03 09:41:12,518880,9.069,,,28800.0,261192.6033,2026-09-03 09:42,OK,,,2026-09-03 09:42,240
7,2026-09-03 09:41:12,513310,4.717,,,377100.0,1778786.3903,2026-09-03 09:42,OK,,,2026-09-03 09:42,240
7,2026-09-03 09:41:12,161226,1.955,,,56200.0,109893.3992,2026-09-03 09:42,OK,,,2026-09-03 09:42,240
7,2026-09-03 09:41:12,159776,1.211,,,12100.0,14653.0999,2026-09-03 09:42,OK,,,2026-09-03 09:42,240
