round,bei_time,code,last,prev,pct,vol,amount,data_ts,status,anchor_last,cross
1,2026-09-03 09:10:44,518880,0.0,8.902,-100.0,0.0,0.0,2026-09-03 09:10:40,OK,8.902,DIVERGE
1,2026-09-03 09:10:44,513310,0.0,4.661,-100.0,0.0,0.0,2026-09-03 09:10:34,OK,4.661,DIVERGE
1,2026-09-03 09:10:44,161226,0.0,1.925,-100.0,0.0,0.0,2026-09-03 09:09:54,OK,1.925,DIVERGE
1,2026-09-03 09:10:44,159776,0.0,1.194,-100.0,0.0,0.0,2026-09-03 09:10:18,OK,1.194,DIVERGE
2,2026-09-03 09:15:55,518880,0.0,8.902,-100.0,0.0,0.0,2026-09-03 09:15:52,OK,8.936,DIVERGE
2,2026-09-03 09:15:55,513310,0.0,4.661,-100.0,0.0,0.0,2026-09-03 09:15:52,OK,4.662,DIVERGE
2,2026-09-03 09:15:55,161226,0.0,1.925,-100.0,0.0,0.0,2026-09-03 09:15:45,OK,1.944,DIVERGE
2,2026-09-03 09:15:55,159776,0.0,1.194,-100.0,0.0,0.0,2026-09-03 09:15:45,OK,1.197,DIVERGE
3,2026-09-03 09:20:58,518880,0.0,8.902,-100.0,0.0,0.0,2026-09-03 09:20:55,OK,8.981,DIVERGE
3,2026-09-03 09:20:58,513310,0.0,4.661,-100.0,0.0,0.0,2026-09-03 09:20:58,OK,4.701,DIVERGE
3,2026-09-03 09:20:58,161226,0.0,1.925,-100.0,0.0,0.0,2026-09-03 09:20:54,OK,1.945,DIVERGE
3,2026-09-03 09:20:58,159776,0.0,1.194,-100.0,0.0,0.0,2026-09-03 09:20:36,OK,1.196,DIVERGE
4,2026-09-03 09:26:01,518880,9.045,8.902,1.61,5776100.0,52244825.0,2026-09-03 09:25:40,OK,9.045,OK
4,2026-09-03 09:26:01,513310,4.731,4.661,1.5,8241100.0,38988644.0,2026-09-03 09:25:34,OK,4.731,OK
4,2026-09-03 09:26:01,161226,1.95,1.925,1.3,2784042.0,5428881.9,2026-09-03 09:25:00,OK,1.95,OK
4,2026-09-03 09:26:01,159776,1.203,1.194,0.75,59500.0,71578.5,2026-09-03 09:25:00,OK,1.203,OK
5,2026-09-03 09:31:04,518880,9.06,8.902,1.77,20859700.0,188813312.0,2026-09-03 09:31:01,OK,9.06,OK
5,2026-09-03 09:31:04,513310,4.737,4.661,1.63,29703806.0,140631872.0,2026-09-03 09:31:01,OK,4.737,OK
5,2026-09-03 09:31:04,161226,1.956,1.925,1.61,8819035.0,17223065.615,2026-09-03 09:31:03,OK,1.955,OK
5,2026-09-03 09:31:04,159776,1.21,1.194,1.34,538200.0,649259.7,2026-09-03 09:31:03,OK,1.209,OK
6,2026-09-03 09:36:08,518880,9.074,8.902,1.93,59784020.0,541882467.0,2026-09-03 09:36:07,OK,9.074,OK
6,2026-09-03 09:36:08,513310,4.739,4.661,1.67,125387395.0,593772401.0,2026-09-03 09:36:07,OK,4.738,OK
6,2026-09-03 09:36:08,161226,1.959,1.925,1.77,17891242.0,34987014.541,2026-09-03 09:36:06,OK,1.959,OK
6,2026-09-03 09:36:08,159776,1.207,1.194,1.09,1520500.0,1837842.4,2026-09-03 09:36:06,OK,1.207,OK
7,2026-09-03 09:41:12,518880,9.069,8.902,1.88,77752620.0,704869317.0,2026-09-03 09:41:10,OK,9.069,OK
7,2026-09-03 09:41:12,513310,4.714,4.661,1.14,197836862.0,936145147.0,2026-09-03 09:41:10,OK,4.714,OK
7,2026-09-03 09:41:12,161226,1.955,1.925,1.56,23114465.0,45206873.656,2026-09-03 09:41:09,OK,1.955,OK
7,2026-09-03 09:41:12,159776,1.211,1.194,1.42,2730100.0,3300102.8,2026-09-03 09:41:09,OK,1.211,OK
