round,bei_time,code,last,prev,pct,vol,amount,data_ts,status,anchor_last,cross
1,2026-09-03 09:10:44,518880,8.902,8.902,0.0,0,0.0,20260903091040,OK,,
1,2026-09-03 09:10:44,513310,4.661,4.661,0.0,0,0.0,20260903091034,OK,,
1,2026-09-03 09:10:44,161226,1.925,1.925,0.0,0,0.0,20260903090000,OK,,
1,2026-09-03 09:10:44,159776,1.194,1.194,0.0,0,0.0,20260903091018,OK,,
2,2026-09-03 09:15:55,518880,8.936,8.902,0.38,0,0.0,20260903091549,OK,,
2,2026-09-03 09:15:55,513310,4.662,4.661,0.02,0,0.0,20260903091552,OK,,
2,2026-09-03 09:15:55,161226,1.944,1.925,0.99,0,0.0,20260903091545,OK,,
2,2026-09-03 09:15:55,159776,1.197,1.194,0.25,0,0.0,20260903091545,OK,,
3,2026-09-03 09:20:58,518880,8.981,8.902,0.89,0,0.0,20260903092055,OK,,
3,2026-09-03 09:20:58,513310,4.701,4.661,0.86,0,0.0,20260903092055,OK,,
3,2026-09-03 09:20:58,161226,1.945,1.925,1.04,0,0.0,20260903092054,OK,,
3,2026-09-03 09:20:58,159776,1.196,1.194,0.17,0,0.0,20260903092036,OK,,
4,2026-09-03 09:26:01,518880,9.045,8.902,1.61,57761,5224.0,20260903092540,OK,,
4,2026-09-03 09:26:01,513310,4.731,4.661,1.5,82411,3899.0,20260903092534,OK,,
4,2026-09-03 09:26:01,161226,1.95,1.925,1.3,27840,543.0,20260903092500,OK,,
4,2026-09-03 09:26:01,159776,1.203,1.194,0.75,595,7.0,20260903092551,OK,,
5,2026-09-03 09:31:04,518880,9.06,8.902,1.77,208597,18881.0,20260903093101,OK,,
5,2026-09-03 09:31:04,513310,4.737,4.661,1.63,297038,14063.0,20260903093101,OK,,
5,2026-09-03 09:31:04,161226,1.955,1.925,1.56,84566,1651.0,20260903093100,OK,,
5,2026-09-03 09:31:04,159776,1.209,1.194,1.26,5359,65.0,20260903093100,OK,,
6,2026-09-03 09:36:08,518880,9.074,8.902,1.93,584432,52971.0,20260903093604,OK,,
6,2026-09-03 09:36:08,513310,4.738,4.661,1.65,1238659,58656.0,20260903093604,OK,,
6,2026-09-03 09:36:08,161226,1.959,1.925,1.77,178912,3499.0,20260903093606,OK,,
6,2026-09-03 09:36:08,159776,1.207,1.194,1.09,15205,184.0,20260903093606,OK,,
7,2026-09-03 09:41:12,518880,9.069,8.902,1.88,774782,70238.0,20260903094107,OK,,
7,2026-09-03 09:41:12,513310,4.714,4.661,1.14,1978369,93615.0,20260903094110,OK,,
7,2026-09-03 09:41:12,161226,1.955,1.925,1.56,231145,4521.0,20260903094109,OK,,
7,2026-09-03 09:41:12,159776,1.211,1.194,1.42,27301,330.0,20260903094109,OK,,
