round,bei_time,code,last,prev,pct,vol,amount,data_ts,status,anchor_last,cross,bar_time,bars_count
1,2026-09-03 09:10:44,518880,8.902,,,34192.0,2.9169,2026-09-02 15:00,OK,8.902,OK,2026-09-02 15:00,320
1,2026-09-03 09:10:44,513310,4.661,,,98385.5,40.5308,2026-09-02 15:00,OK,4.661,OK,2026-09-02 15:00,320
1,2026-09-03 09:10:44,161226,1.925,,,22749.0,6.225,2026-09-02 15:00,OK,1.925,OK,2026-09-02 15:00,320
1,2026-09-03 09:10:44,159776,1.194,,,300.0,3.799,2026-09-02 15:00,OK,1.194,OK,2026-09-02 15:00,320
2,2026-09-03 09:15:55,518880,8.902,,,34192.0,2.9169,2026-09-02 15:00,OK,8.902,OK,2026-09-02 15:00,320
2,2026-09-03 09:15:55,513310,4.661,,,98385.5,40.5308,2026-09-02 15:00,OK,4.661,OK,2026-09-02 15:00,320
2,2026-09-03 09:15:55,161226,1.925,,,22749.0,6.225,2026-09-02 15:00,OK,1.925,OK,2026-09-02 15:00,320
2,2026-09-03 09:15:55,159776,1.194,,,300.0,3.799,2026-09-02 15:00,OK,1.194,OK,2026-09-02 15:00,320
3,2026-09-03 09:20:58,518880,8.902,,,34192.0,2.9169,2026-09-02 15:00,OK,8.902,OK,2026-09-02 15:00,320
3,2026-09-03 09:20:58,513310,4.661,,,98385.5,40.5308,2026-09-02 15:00,OK,4.661,OK,2026-09-02 15:00,320
3,2026-09-03 09:20:58,161226,1.925,,,22749.0,6.225,2026-09-02 15:00,OK,1.925,OK,2026-09-02 15:00,320
3,2026-09-03 09:20:58,159776,1.194,,,300.0,3.799,2026-09-02 15:00,OK,1.194,OK,2026-09-02 15:00,320
4,2026-09-03 09:26:01,518880,9.045,,,57761.0,4.928,2026-09-03 09:30,OK,8.902,OK,2026-09-03 09:30,320
4,2026-09-03 09:26:01,513310,4.731,,,82411.0,33.866,2026-09-03 09:30,OK,4.661,OK,2026-09-03 09:30,320
4,2026-09-03 09:26:01,161226,1.95,,,27840.0,7.618,2026-09-03 09:30,OK,1.925,OK,2026-09-03 09:30,320
4,2026-09-03 09:26:01,159776,1.203,,,595.0,7.535,2026-09-03 09:30,OK,1.194,OK,2026-09-03 09:30,320
5,2026-09-03 09:31:04,518880,9.06,,,4055.0,0.346,2026-09-03 09:32,OK,9.054,OK,2026-09-03 09:32,320
5,2026-09-03 09:31:04,513310,4.737,,,13470.0,5.535,2026-09-03 09:32,OK,4.738,OK,2026-09-03 09:32,320
5,2026-09-03 09:31:04,161226,1.955,,,52282.0,14.306,2026-09-03 09:31,OK,1.954,OK,2026-09-03 09:31,320
5,2026-09-03 09:31:04,159776,1.209,,,4736.0,59.973,2026-09-03 09:31,OK,1.209,OK,2026-09-03 09:31,320
6,2026-09-03 09:36:08,518880,9.074,,,1409.0,0.12,2026-09-03 09:37,OK,9.074,OK,2026-09-03 09:37,320
6,2026-09-03 09:36:08,513310,4.739,,,6886.0,2.83,2026-09-03 09:37,OK,4.735,OK,2026-09-03 09:37,320
6,2026-09-03 09:36:08,161226,1.958,,,86.0,0.024,2026-09-03 09:37,OK,1.958,OK,2026-09-03 09:37,320
6,2026-09-03 09:36:08,159776,1.207,,,379.0,4.799,2026-09-03 09:37,OK,1.205,OK,2026-09-03 09:37,320
7,2026-09-03 09:41:12,518880,9.069,,,576.0,0.049,2026-09-03 09:42,OK,9.069,OK,2026-09-03 09:42,320
7,2026-09-03 09:41:12,513310,4.714,,,3302.0,1.357,2026-09-03 09:42,OK,4.717,OK,2026-09-03 09:42,320
7,2026-09-03 09:41:12,161226,1.955,,,8187.0,2.24,2026-09-03 09:41,OK,1.955,OK,2026-09-03 09:41,320
7,2026-09-03 09:41:12,159776,1.211,,,3270.0,41.409,2026-09-03 09:41,OK,1.212,OK,2026-09-03 09:41,320
