round,bei_time,code,last,prev,pct,vol,amount,data_ts,status,anchor_last,cross
1,2026-09-03 09:10:44,,,,,,,,ERR,,
2,2026-09-03 09:15:55,518880,8.936,8.936,0.0,,,,PARTIAL,,
2,2026-09-03 09:15:55,513310,4.662,4.662,0.0,,,,PARTIAL,,
2,2026-09-03 09:15:55,161226,,,,,,,PARTIAL,,
2,2026-09-03 09:15:55,159776,,,,,,,PARTIAL,,
3,2026-09-03 09:20:58,518880,8.97,8.97,0.0,,,,PARTIAL,,
3,2026-09-03 09:20:58,513310,4.702,4.702,0.0,,,,PARTIAL,,
3,2026-09-03 09:20:58,161226,1.945,1.945,0.0,,,,PARTIAL,,
3,2026-09-03 09:20:58,159776,,,,,,,PARTIAL,,
4,2026-09-03 09:26:01,518880,9.0,9.0,0.0,,,,PARTIAL,,
4,2026-09-03 09:26:01,513310,4.731,4.731,0.0,,,,PARTIAL,,
4,2026-09-03 09:26:01,161226,1.95,1.95,0.0,,,,PARTIAL,,
4,2026-09-03 09:26:01,159776,,,,,,,PARTIAL,,
5,2026-09-03 09:31:04,518880,9.052,9.052,0.0,,,,OK,9.06,OK
5,2026-09-03 09:31:04,513310,4.702,4.702,0.0,,,,OK,4.737,DIVERGE
5,2026-09-03 09:31:04,161226,1.954,1.953,0.05,,,,OK,1.955,OK
5,2026-09-03 09:31:04,159776,1.21,1.21,0.0,,,,OK,1.209,OK
6,2026-09-03 09:36:08,518880,9.074,9.073,0.01,,,,OK,9.074,OK
6,2026-09-03 09:36:08,513310,4.739,4.738,0.02,,,,OK,4.738,OK
6,2026-09-03 09:36:08,161226,1.959,1.958,0.05,,,,OK,1.959,OK
6,2026-09-03 09:36:08,159776,1.206,1.205,0.08,,,,OK,1.207,OK
7,2026-09-03 09:41:12,518880,9.068,9.068,0.0,,,,OK,9.069,OK
7,2026-09-03 09:41:12,513310,4.728,4.728,0.0,,,,OK,4.714,OK
7,2026-09-03 09:41:12,161226,1.956,1.955,0.05,,,,OK,1.955,OK
7,2026-09-03 09:41:12,159776,1.21,1.209,0.08,,,,OK,1.211,OK
